series_name,episode,series_ep,season,season_ep,user_rating,user_votes
Game of Thrones,Mhysa,30,3,10,9.2,19697
Game of Thrones,Two Swords,31,4,1,9.1,23497
Game of Thrones,The Lion and the Rose,32,4,2,9.7,37930
Game of Thrones,Breaker of Chains,33,4,3,8.9,19040
Game of Thrones,Oathkeeper,34,4,4,8.9,18164
Game of Thrones,First of His Name,35,4,5,8.8,17496
Game of Thrones,The Laws of Gods and Men,36,4,6,9.7,33064
Game of Thrones,Mockingbird,37,4,7,9.2,19793
Game of Thrones,The Mountain and the Viper,38,4,8,9.7,36690
Game of Thrones,The Watchers on the Wall,39,4,9,9.6,30215
Game of Thrones,The Children,40,4,10,9.7,30074
Game of Thrones,The Wars to Come,41,5,1,8.6,20433
Game of Thrones,The House of Black and White,42,5,2,8.6,17395
Game of Thrones,High Sparrow,43,5,3,8.6,16705
Game of Thrones,Sons of the Harpy,44,5,4,8.8,17319
Game of Thrones,Kill the Boy,45,5,5,8.7,17531
Game of Thrones,"Unbowed, Unbent, Unbroken",46,5,6,8.1,19892
Game of Thrones,The Gift,47,5,7,9.1,19644
Game of Thrones,Hardhome,48,5,8,9.9,71709
Game of Thrones,The Dance of Dragons,49,5,9,9.5,30848
Game of Thrones,Mother's Mercy,50,5,10,9.1,29938
Game of Thrones,The Red Woman,51,6,1,8.6,29225
Game of Thrones,Home,52,6,2,9.5,35311
Game of Thrones,Oathbreaker,53,6,3,8.8,23489
Game of Thrones,Book of the Stranger,54,6,4,9.2,25659
Game of Thrones,The Door,55,6,5,9.7,51977
Game of Thrones,Blood of My Blood,56,6,6,8.5,23288
Game of Thrones,The Broken Man,57,6,7,8.7,22489
Game of Thrones,No One,58,6,8,8.4,26113
Game of Thrones,Battle of the Bastards,59,6,9,9.9,159456
Game of Thrones,The Winds of Winter,60,6,10,9.9,109640
Game of Thrones,Dragonstone,61,7,1,8.7,36824
Game of Thrones,Stormborn,62,7,2,9.0,30774
Game of Thrones,The Queen's Justice,63,7,3,9.3,31936
Game of Thrones,The Spoils of War,64,7,4,9.8,64408
Game of Thrones,Eastwatch,65,7,5,9.0,29970
Game of Thrones,Beyond the Wall,66,7,6,9.2,44451
Game of Thrones,The Dragon and the Wolf,67,7,7,9.6,42685
Homeland,Pilot,1,1,1,8.4,3566
Homeland,Grace,2,1,2,8.1,2846
Homeland,Clean Skin,3,1,3,8.0,2616
Homeland,Semper I,4,1,4,7.9,2462
Homeland,Blind Spot,5,1,5,8.3,2417
Homeland,The Good Soldier,6,1,6,8.5,2409
Homeland,The Weekend,7,1,7,8.8,2725
Homeland,Achilles Heel,8,1,8,8.4,2340
Homeland,Crossfire,9,1,9,8.2,2301
Homeland,Representative Brody,10,1,10,8.3,2302
Homeland,The Vest,11,1,11,8.7,2435
Homeland,Marine One,12,1,12,9.1,3227
Homeland,The Smile,13,2,1,8.4,2765
Homeland,Beirut Is Back,14,2,2,9.0,2739
Homeland,State of Independence,15,2,3,8.3,2379
Homeland,New Car Smell,16,2,4,8.8,2483
Homeland,Q&A,17,2,5,9.1,2847
Homeland,A Gettysburg Address,18,2,6,8.4,2215
Homeland,The Clearing,19,2,7,7.9,2109
Homeland,I'll Fly Away,20,2,8,8.3,2130
Homeland,Two Hats,21,2,9,8.6,2202
Homeland,Broken Hearts,22,2,10,8.7,2258
Homeland,In Memoriam,23,2,11,8.7,2287
